Temperature (Celsius),Species,strain_ID,Week,Plate,Growth
15,Rhizopogon idahoensis,RP05,5,5,5.055
15,Rhizopogon idahoensis,RP05,5,6,5.528
15,Rhizopogon idahoensis,RP06,1,1,0.667
15,Rhizopogon idahoensis,RP06,1,2,0.703
15,Rhizopogon idahoensis,RP06,1,3,0.821
15,Rhizopogon idahoensis,RP06,1,4,0.673
15,Rhizopogon idahoensis,RP06,1,5,0.722
15,Rhizopogon idahoensis,RP06,1,6,0.714
15,Rhizopogon idahoensis,RP06,3,1,3.274
15,Rhizopogon idahoensis,RP06,3,2,2.379
15,Rhizopogon idahoensis,RP06,3,3,3.025
15,Rhizopogon idahoensis,RP06,3,4,3.147
15,Rhizopogon idahoensis,RP06,3,5,3.178
15,Rhizopogon idahoensis,RP06,3,6,2.470
15,Rhizopogon idahoensis,RP06,4,1,4.539
15,Rhizopogon idahoensis,RP06,4,2,3.680
15,Rhizopogon idahoensis,RP06,4,3,3.932
15,Rhizopogon idahoensis,RP06,4,4,4.248
15,Rhizopogon idahoensis,RP06,4,5,4.337
15,Rhizopogon idahoensis,RP06,4,6,3.789
15,Rhizopogon idahoensis,RP06,5,1,7.198
15,Rhizopogon idahoensis,RP06,5,2,6.573
15,Rhizopogon idahoensis,RP06,5,3,6.479
15,Rhizopogon idahoensis,RP06,5,4,7.091
15,Rhizopogon idahoensis,RP06,5,5,5.342
15,Rhizopogon idahoensis,RP06,5,6,5.750
15,Rhizopogon idahoensis,RP07,1,1,0.633
15,Rhizopogon idahoensis,RP07,1,2,0.694
15,Rhizopogon idahoensis,RP07,1,3,0.751
15,Rhizopogon idahoensis,RP07,1,4,0.762
15,Rhizopogon idahoensis,RP07,1,5,0.666
15,Rhizopogon idahoensis,RP07,1,6,0.605
15,Rhizopogon idahoensis,RP07,3,1,2.881
15,Rhizopogon idahoensis,RP07,3,2,3.063
15,Rhizopogon idahoensis,RP07,3,3,3.064
15,Rhizopogon idahoensis,RP07,3,4,2.892
15,Rhizopogon idahoensis,RP07,3,5,2.996
